Industry,Propagule Pressure,port,MNT
Commercial,207,TIM,CULL
Recreational,9,TIM,CULL
Aquaculture,1,TIM,CULL
Commercial,659,TIM,HULL
Recreational,74,TIM,HULL
Aquaculture,3,TIM,HULL
Commercial,293,AUK,BAU
Recreational,18,AUK,BAU
Aquaculture,1,AUK,BAU
Commercial,260,DUN,HULL
Recreational,6,DUN,HULL
Aquaculture,1,DUN,HULL
Commercial,2,AUK,CULL
Recreational,0,AUK,CULL
Aquaculture,0,AUK,CULL
Commercial,27,AUK,HULL
Recreational,2,AUK,HULL
Aquaculture,0,AUK,HULL
Commercial,4447,BLF,BAU
Recreational,935,BLF,BAU
Aquaculture,24,BLF,BAU
Commercial,200,BLF,CULL
Recreational,7,BLF,CULL
Aquaculture,1,BLF,CULL
Commercial,586,BLF,HULL
Recreational,53,BLF,HULL
Aquaculture,3,BLF,HULL
Commercial,80,CDL,BAU
Recreational,22,CDL,BAU
Aquaculture,50,CDL,BAU
Commercial,0,CDL,CULL
Recreational,1,CDL,CULL
Aquaculture,0,CDL,CULL
Commercial,1059,WGI,HULL
Recreational,26,WGI,HULL
Aquaculture,1,WGI,HULL
Commercial,604,GBI,BAU
Recreational,6427,GBI,BAU
Aquaculture,48,GBI,BAU
Commercial,506,GBI,CULL
Recreational,5983,GBI,CULL
Aquaculture,44,GBI,CULL
Commercial,540,GBI,HULL
Recreational,6144,GBI,HULL
Aquaculture,45,GBI,HULL
Commercial,39,GIS,CULL
Recreational,2,GIS,CULL
Aquaculture,0,GIS,CULL
Commercial,246,GIS,HULL
Recreational,100,GIS,HULL
Aquaculture,1,GIS,HULL
Commercial,2211,GIS,BAU
Recreational,976,GIS,BAU
Aquaculture,10,GIS,BAU
Commercial,124,HVK,HULL
Recreational,218,HVK,HULL
Aquaculture,27,HVK,HULL
Commercial,586,GMI,CULL
Recreational,4545,GMI,CULL
Aquaculture,29,GMI,CULL
Commercial,846,GMI,BAU
Recreational,5478,GMI,BAU
Aquaculture,33,GMI,BAU
Commercial,657,GMI,HULL
Recreational,4845,GMI,HULL
Aquaculture,30,GMI,HULL
Commercial,1106,HVK,BAU
Recreational,1220,HVK,BAU
Aquaculture,229,HVK,BAU
Commercial,7,HVK,CULL
Recreational,1,HVK,CULL
Aquaculture,2,HVK,CULL
Commercial,4107,NEL,BAU
Recreational,1347,NEL,BAU
Aquaculture,31,NEL,BAU
Commercial,102,NEL,CULL
Recreational,5,NEL,CULL
Aquaculture,0,NEL,CULL
Commercial,494,NEL,HULL
Recreational,216,NEL,HULL
Aquaculture,4,NEL,HULL
Commercial,3522,LYT,BAU
Recreational,997,LYT,BAU
Aquaculture,20,LYT,BAU
Commercial,143,LYT,CULL
Recreational,8,LYT,CULL
Aquaculture,1,LYT,CULL
Commercial,465,LYT,HULL
Recreational,63,LYT,HULL
Aquaculture,2,LYT,HULL
Commercial,131,MBS,BAU
Recreational,2204,MBS,BAU
Aquaculture,37,MBS,BAU
Commercial,72,MBS,CULL
Recreational,1588,MBS,CULL
Aquaculture,13,MBS,CULL
Commercial,84,MBS,HULL
Recreational,1739,MBS,HULL
Aquaculture,19,MBS,HULL
Commercial,21,MFD,BAU
Recreational,0,MFD,BAU
Aquaculture,0,MFD,BAU
Commercial,0,MFD,CULL
Recreational,0,MFD,CULL
Aquaculture,0,MFD,CULL
Commercial,2,MFD,HULL
Recreational,0,MFD,HULL
Aquaculture,0,MFD,HULL
Commercial,4907,TIM,BAU
Recreational,979,TIM,BAU
Aquaculture,19,TIM,BAU
Commercial,1718,NPR,BAU
Recreational,813,NPR,BAU
Aquaculture,10,NPR,BAU
Commercial,27,NPR,CULL
Recreational,1,NPR,CULL
Aquaculture,0,NPR,CULL
Commercial,183,NPR,HULL
Recreational,16,NPR,HULL
Aquaculture,1,NPR,HULL
Commercial,1576,NPY,BAU
Recreational,603,NPY,BAU
Aquaculture,8,NPY,BAU
Commercial,9,NPY,CULL
Recreational,1,NPY,CULL
Aquaculture,0,NPY,CULL
Commercial,153,NPY,HULL
Recreational,13,NPY,HULL
Aquaculture,0,NPY,HULL
Commercial,700,PCN,BAU
Recreational,740,PCN,BAU
Aquaculture,13,PCN,BAU
Commercial,4,PCN,CULL
Recreational,1,PCN,CULL
Aquaculture,0,PCN,CULL
Commercial,63,PCN,HULL
Recreational,14,PCN,HULL
Aquaculture,1,PCN,HULL
Commercial,542,STW,BAU
Recreational,51,STW,BAU
Aquaculture,36,STW,BAU
Commercial,3,STW,CULL
Recreational,0,STW,CULL
Aquaculture,0,STW,CULL
Commercial,48,STW,HULL
Recreational,1,STW,HULL
Aquaculture,4,STW,HULL
Commercial,971,TAU,BAU
Recreational,349,TAU,BAU
Aquaculture,5,TAU,BAU
Commercial,5,TAU,CULL
Recreational,0,TAU,CULL
Aquaculture,0,TAU,CULL
Commercial,90,TAU,HULL
Recreational,4,TAU,HULL
Aquaculture,0,TAU,HULL
Commercial,154,WGI,CULL
Recreational,4,WGI,CULL
Aquaculture,0,WGI,CULL
Commercial,611,WEL,BAU
Recreational,510,WEL,BAU
Aquaculture,8,WEL,BAU
Commercial,3,WEL,CULL
Recreational,0,WEL,CULL
Aquaculture,0,WEL,CULL
Commercial,55,WEL,HULL
Recreational,6,WEL,HULL
Aquaculture,0,WEL,HULL
Commercial,7666,WGI,BAU
Recreational,1450,WGI,BAU
Aquaculture,15,WGI,BAU
Commercial,8,CDL,HULL
Recreational,6,CDL,HULL
Aquaculture,5,CDL,HULL
Commercial,32,DUN,CULL
Recreational,1,DUN,CULL
Aquaculture,0,DUN,CULL
Commercial,2463,DUN,BAU
Recreational,437,DUN,BAU
Aquaculture,8,DUN,BAU
Commercial,307,BOI,HULL
Recreational,7036,BOI,HULL
Aquaculture,53,BOI,HULL
Commercial,333,BOI,BAU
Recreational,7281,BOI,BAU
Aquaculture,55,BOI,BAU
Commercial,294,BOI,CULL
Recreational,6791,BOI,CULL
Aquaculture,52,BOI,CULL
